rank,ticker,security,gics_sector,gics_sub_industry,marketCap,composite_score,rev_growth_ttm,revenueGrowth,operatingMargins,profitMargins,returnOnEquity,net_debt_ebitda,dist_sma200,dist_52w_high,ret_12m,analyst_upside,trailingPE,forwardPE,recommendationKey,accrual_ratio,cfo_ni,eq_flags
1,MU,Micron Technology,Information Technology,Semiconductors,1106014765056,0.9190624999999999,1.5034538779859794,3.457,0.80370003,0.55906,0.66638,-0.287971626575836,1.1091958104308173,-0.1929112858156803,7.024147682696398,0.5174104140948395,22.126074,6.5444407,strong_buy,-0.009063145560893892,1.019081020032099,RECEIVABLES_OUTRUN
2,SNDK,Sandisk,Information Technology,"Technology Hardware, Storage & Peripherals",283728150528,0.8668750000000001,0.7925220938137321,2.51,0.69983,0.34185,0.39297,-0.626420465909091,1.5709232984857344,-0.17947749723969486,40.470130136495975,0.06217658008806115,65.367455,9.370103,buy,-0.008789745297153321,1.0292877745728866,
3,NVDA,Nvidia,Information Technology,Semiconductors,5109662089216,0.80546875,0.4826985537564106,0.852,0.65596,0.62966,1.14288,-0.2438343463332097,0.10180051795779432,-0.10407283245564647,0.29691176753385573,0.42975298824814345,32.25688,16.494099,strong_buy,0.1765663013869539,0.7872040497954427,"HIGH_ACCRUALS,INVENTORY_BUILD"
4,LLY,Lilly (Eli),Health Care,Pharmaceuticals,1059905929216,0.78953125,0.2835278504796257,0.555,0.49386,0.34986,1.07459,1.0517188835490778,0.1958160951381671,-0.03802332570747946,0.5211050985785168,0.04614636454696264,42.19311,26.518183,buy,0.046577861848238145,0.8102323483682601,
5,LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,438112518144,0.784375,0.17608620325760094,0.238,0.35042998,0.30938998,0.66762,-0.12952183978956744,0.5369746419932591,-0.19153994085788528,2.529394963525025,0.04058577333573887,66.22495,43.346134,buy,-0.012090955348131094,1.0367333899605289,
6,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,4358514933760,0.767265625,0.11324895849927707,0.218,0.36121,0.37919,0.38884997,-0.19194623940185743,0.12116632843117725,-0.11233091523913563,1.0280770099499734,0.2092222656828726,27.244852,24.513006,strong_buy,-0.023988949311155073,1.0882914710875862,
7,GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,4332279300096,0.762578125,0.11324895849927707,0.218,0.36121,0.37919,0.38884997,-0.19194623940185743,0.11673609743275093,-0.10975423859941147,1.0040742561653033,0.2070572387501297,27.101526,24.365454,strong_buy,-0.023988949311155073,1.0882914710875862,
8,AVGO,Broadcom,Information Technology,Semiconductors,1902889402368,0.7007812499999999,0.24720163813742557,0.479,0.48988,0.38848,0.37280998,1.0759196582890276,0.10716830080789919,-0.16813129877333455,0.4498043692526208,0.30942055254540635,66.66167,20.621496,strong_buy,-0.02504450417117526,1.146843128560221,"RECEIVABLES_OUTRUN,INVENTORY_BUILD"
9,KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,302428848128,0.7,0.07736808640753545,0.115,0.41215,0.35661998,0.94975996,0.20297057561466395,0.4955762071551537,-0.23264057926655646,1.5240166260536112,-0.012581436673752777,65.40113,45.429306,buy,0.016775153951013762,0.9424221201692902,
10,APH,Amphenol,Information Technology,Electronic Components,195681091584,0.68640625,0.32031685214602934,0.584,0.27305,0.17239,0.36825,1.7336041635206965,0.14114369420086081,-0.09789025095653014,0.6306303635755415,0.16098750681781815,45.706894,27.731575,buy,-0.03892619307182648,1.28346209830926,
11,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",4631217307648,0.6664062499999999,0.09733855479654308,0.166,0.32275,0.27152002,1.4147099,0.10129017754727493,0.1588530215138737,-0.0028461004775477416,0.499341379376145,0.0007822931309513503,38.174335,32.815243,buy,-0.05025380349273474,1.1439689985723027,
12,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,350598889472,0.665625,0.17488457745573238,0.163,0.40616,0.24753,0.16388,,0.24329324673455943,-0.02118101913849557,0.6082306533025583,-0.019897646228117738,20.115837,17.045254,buy,0.013272656481524538,-0.055816264561364765,"LOW_CASH_CONVERSION,RECEIVABLES_OUTRUN"
13,SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,179339657216,0.6609375000000001,0.12663411200169516,0.158,0.49352002,0.37986,0.19083,,0.09219394064146624,-0.03143822070316571,0.13115338412589383,0.16114077590022902,20.500994,13.826578,buy,-0.0018238442537402402,1.0925493525790702,
14,TPL,Texas Pacific Land Corporation,Energy,Oil & Gas Exploration & Production,27439409152,0.6476562499999999,0.10775254051727678,0.208,0.77222,0.60025,0.36466,-0.33260895637609655,0.05511346093424363,-0.2618827627279663,0.14641986244121807,0.11482578008841204,54.645603,5.440645,hold,-0.03064084167942939,1.0944470698494517,RECEIVABLES_OUTRUN
15,V,Visa Inc.,Financials,Transaction & Payment Processing Services,663651549184,0.6434374999999999,0.09685572302020629,0.171,0.67346,0.51679003,0.60349,0.33384199846422086,0.06355025239108913,-0.036340550312499054,-0.016864801735537838,0.14954915493234866,30.398085,23.472555,strong_buy,-0.005534800055348001,1.0233855009893866,
16,HOOD,Robinhood Markets,Financials,Investment Banking & Brokerage,100829552640,0.62859375,0.21360575213829902,0.151,0.38519,0.41123,0.21461001,,0.09566951467764695,-0.2655778808219168,0.184366407196777,0.026854682026572263,54.35437,36.648632,buy,-0.03115452590045348,1.599367422245651,RECEIVABLES_OUTRUN
17,META,Meta Platforms,Communication Services,Interactive Media & Services,1698738339840,0.62484375,0.16279501985033584,0.331,0.40617,0.32837,0.32930002,0.05113075048665012,0.042914236016115215,-0.15012228437379949,-0.08375863347519152,0.23778929305073349,24.33491,18.420841,strong_buy,-0.15815226000535929,1.7566974088713219,
18,ROST,Ross Stores,Consumer Discretionary,Apparel Retail,71495688192,0.5979687500000002,0.08580562118754775,0.206,0.13377,0.097399995,0.38981998,0.1725956777118873,0.1411063990217889,-0.07183608732452362,0.7140640269919367,0.1493919346183359,31.172028,26.079489,buy,-0.07618546090402727,1.4911642360021056,
19,GE,GE Aerospace,Industrials,Aerospace & Defense,375375921152,0.5953125,0.1315287125360869,0.247,0.20207001,0.17863001,0.45428002,0.9730906115238739,0.15764687498226615,-0.05125700865513605,0.44247391399014413,0.03556548383405844,44.62981,41.29184,strong_buy,-0.001750023755978588,1.0256083429895713,
20,CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,17962334208,0.5915625,0.12616607198053886,0.194,0.33585,0.23733999,0.273,0.45912133528768273,0.16948994599314804,-0.14682164864898872,0.2094006123182588,0.07528320192355764,10.533333,10.420324,hold,-0.06476572574867459,1.5142207053469852,
21,HWM,Howmet Aerospace,Industrials,Aerospace & Defense,108369117184,0.5906250000000001,0.09302637688242088,0.191,0.28188,0.20225,0.33818,0.9422100727455855,0.1799161331951531,-0.043710074506935315,0.496318806885093,0.13671033067037364,62.842228,44.8255,strong_buy,-0.02852468643818952,1.194954128440367,
22,BNY,BNY Mellon,Financials,Asset Management & Custody Banks,104274706432,0.590625,0.0868050597504193,0.134,0.37647998,0.28722,0.13472,,0.24552421298297422,-0.006474432473049352,0.6633506505938833,0.012751131216447442,18.82528,15.385067,buy,0.005300296944346882,0.5544371749706425,LOW_CASH_CONVERSION
23,GS,Goldman Sachs,Financials,Investment Banking & Brokerage,311285940224,0.580625,0.09534722950197927,0.145,0.38599998,0.29363,0.14548,,0.18671953856972667,-0.04626837462347122,0.5453390891796845,-0.034098496824688906,19.269176,15.72639,hold,0.03024283385702499,-2.20234669028116,"LOW_CASH_CONVERSION,RECEIVABLES_OUTRUN"
24,MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,95248211968,0.56828125,0.10737905712524154,0.269,0.31019,0.23108,0.26654,-1.024184476299489,0.24245154425623472,-0.002560426070900901,0.63488332866502,-0.06191600192462232,47.04831,37.630066,buy,-0.017161424878901044,1.0805340160360328,RECEIVABLES_OUTRUN
25,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,45556248576,0.56421875,0.07651040177242296,0.09,0.37188,0.20165001,0.66936,,0.07620111104918492,-0.06486910823757053,-0.04808946181251017,0.07294831778749122,12.624814,10.265334,buy,-0.017611765385535903,1.8218228498074454,
26,AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,478360567808,0.538125,0.03506200110643376,0.114,0.31896,0.29314,0.39692003,-0.10490568324979958,0.7280528208687089,-0.16666666666666663,2.1061968428144247,0.01609958506224074,56.839622,36.16898,strong_buy,0.013934359695879217,0.9394687353079455,
27,MCO,Moody's Corporation,Financials,Financial Exchanges & Data,85116329984,0.5160937499999999,0.058217608012329336,0.081,0.45743,0.31691,0.71361,1.545096908816884,0.038278102866625474,-0.09286621984882915,-0.021631986804107495,0.10798719699664128,34.955524,26.165998,buy,-0.039426042644495105,1.2356713426853707,
28,EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail,52036800512,0.51515625,0.08051610938873388,0.195,0.23146999,0.17615,0.42875,1.12244220054891,0.2402220533231385,-0.012063629180580016,0.5553561168032943,-0.07644417390385061,27.129627,17.350496,hold,-0.00721904089885201,1.0651960784313725,
29,CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,438672392192,0.505625,0.06620250909342174,0.222,0.18180001,0.13328,0.51331,2.7306450665526154,0.34610686657863954,-0.10563437758528216,1.3937481117018073,0.010580030805640961,47.38358,31.319437,buy,-0.03201790343666216,1.3064687168610816,
30,STT,State Street Corporation,Financials,Asset Management & Custody Banks,49878958080,0.50265625,0.0658944169244069,-0.028,0.27818,0.21295,0.11261,,0.35218972174217056,0.0,0.6897682582496376,0.0041299454791667856,18.277891,12.42894,buy,0.014920416600205528,-0.8616639477977162,LOW_CASH_CONVERSION
31,EW,Edwards Lifesciences,Health Care,Health Care Equipment,53094518784,0.49078124999999995,0.08862955781837067,0.167,0.31219998,0.1739,0.1046,-1.5594663080479092,0.11201087664615961,-0.031204047186177863,0.1945847411323487,0.06195728198949069,49.843243,27.379728,buy,-0.02017955093286769,1.2432284040995607,
32,GILD,Gilead Sciences,Health Care,Biotechnology,161193017344,0.48406249999999995,0.020513805429526855,0.044,0.39282,0.30993,0.4336,0.8384447873063464,0.0063677097143310935,-0.15644788708935453,0.17637025387553362,0.2192582436068049,17.663946,13.437593,buy,-0.02821349989353396,1.1725260416666667,
33,ABBV,AbbVie,Health Care,Biotechnology,438305980416,0.48203124999999997,0.06419807181536519,0.124,0.32156,0.05786,,2.123382976879337,0.12428805037742219,-0.0497567898599397,0.34383585636729563,0.05985391026825826,122.2069,15.23252,buy,-0.12903296800035213,5.83878954607978,
34,DECK,Deckers Brands,Consumer Discretionary,Footwear,14719992832,0.4790625,0.06516431980173554,0.096,0.14002,0.18714,0.40859002,-1.1444554743810864,0.03725159070852668,-0.1446211384772933,0.010294482546569839,0.19687840887638575,15.09829,12.772957,buy,-0.04350609815325591,1.1541729040271622,
35,AMGN,Amgen,Health Care,Biotechnology,196124606464,0.4604687499999999,0.054922834865751335,0.058,0.33800998,0.20955999,1.01318,2.6767349107380425,0.0882204470999246,-0.056744279777925954,0.26235248868950967,-0.021000617355489304,25.323345,15.495167,buy,-0.032506556845236456,1.378974358974359,
36,VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,123194621952,0.45281249999999995,0.05617844149514406,0.078,0.38126,0.35507,0.24197,-1.0560106398396696,0.08617322695073426,-0.08346080924045407,0.013403790240249513,0.14250393140382478,28.823635,22.857307,buy,0.003958278047762682,0.9774796579305258,INVENTORY_BUILD
37,JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,618606624768,0.448125,0.04945055903347373,0.099,0.27408,0.21834,0.26416,0.9595339068250398,0.17238471543023692,-0.038392379969212964,0.6854423276807797,0.007860490805953635,29.777521,20.164024,buy,-0.009276038168616071,1.086977186311787,
38,KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages,359214252032,0.43734375,0.036412446371452356,0.121,0.35055,0.278,0.43372002,1.844271499497465,0.12961517639626274,-0.007725238062681439,0.23567209029014213,0.039735324243793,26.254715,23.988897,buy,-0.009032063826584374,1.0678782570615284,
39,PH,Parker Hannifin,Industrials,Industrial Machinery & Supplies & Components,121203064832,0.43,0.057279638891687634,0.106,0.21528,0.16582,0.24841999,1.6619821174727403,0.08239793494904935,-0.058236622305565366,0.37031915199068677,0.08267092373015239,35.458134,28.172674,buy,-0.020640937682434267,1.1767346556434568,
40,CDNS,Cadence Design Systems,Information Technology,Application Software,105960235008,0.42234374999999996,0.10409467565942099,0.187,0.29699,0.21180001,0.20656,0.7631708785805122,0.17170532632797153,-0.07737938011771683,0.18971233182892355,0.011998819301737962,89.34186,40.870106,strong_buy,-0.040410783711888686,1.3642906003489417,"RECEIVABLES_OUTRUN,INVENTORY_BUILD"
41,FAST,Fastenal,Industrials,Trading Companies & Distributors,53372153856,0.42046875000000006,0.06714836006089908,0.124,0.2033,0.15392,0.33842,0.07249139651560746,0.05594802508682428,-0.06250016827506866,0.09363433712500036,0.012583314700205017,41.141594,33.771366,hold,-0.02230003868778954,1.0864881502000616,
42,VRSN,Verisign,Information Technology,Internet Services & Infrastructure,24580007936,0.41765625000000006,0.043647338892707,0.066,0.68454003,0.49958,,1.0563944798264853,0.05642157247823931,-0.12867746660786294,-0.05624689048559495,0.15508502802632562,29.846407,25.780743,buy,-0.1685307297169296,1.275062433107385,RECEIVABLES_OUTRUN
43,AME,Ametek,Industrials,Electrical Components & Equipment,53628919808,0.41437500000000005,0.05550348565140628,0.113,0.26299,0.20108,0.14626999,0.8157650833414603,0.08991269212599318,-0.03290074660470821,0.29170990164915445,0.12568982310225563,35.34441,26.447502,buy,-0.019751604461539948,1.201600271250166,
44,MRK,Merck & Co.,Health Care,Pharmaceuticals,305122115584,0.41234375,0.01746887739501668,0.049,0.38604,0.13586001,0.18944,1.470847258072417,0.15461555531320514,-0.04646493328578405,0.5251484211113255,0.0711779910903938,34.8,12.866405,buy,-0.0734597447981395,2.0022383883603805,
45,ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,96703717376,0.408125,0.0505570942906195,0.07,0.30184,0.20118,0.71208,0.18448240787872225,0.028514014687683664,-0.2003508688399358,-0.19379101163064705,0.042217807160870535,22.567163,19.838274,hold,-0.018306034425730654,1.25472327695317,
46,FCX,Freeport-McMoRan,Materials,Copper,88438677504,0.40125000000000005,0.02757788124732219,0.088,0.31072,0.10344,0.15630999,0.6811816895026446,0.11152063812700774,-0.14221975166385048,0.36511017523532496,0.15143627231655232,32.550266,15.313539,buy,-0.0577040274416256,2.212586900841566,
47,PM,Philip Morris International,Consumer Staples,Tobacco,283065450496,0.39375000000000004,0.052451235925617956,0.091,0.36044,0.26742,,2.5014519607776187,0.10094455451556339,-0.0455242198074457,0.05740869375026603,0.07288379715169269,25.580282,19.908886,buy,-0.016239775508985612,1.0980533525594809,
48,MO,Altria,Consumer Staples,Tobacco,119881490432,0.3859375,0.005146997764063688,0.053,0.62294996,0.39518002,,1.3346211650834165,0.13554961609469984,-0.030519946564361744,0.3274380814452982,-0.0160696601311483,14.987474,12.215083,hold,-0.023911065620379847,1.1044331305103687,
49,UNP,Union Pacific Corporation,Industrials,Rail Transportation,170371940352,0.38515625,0.012493623962015032,0.032,0.40357,0.29202,0.40686,2.4209438676591097,0.17632477727992413,0.0,0.24096530793062731,0.03604808632893075,23.63756,20.821648,buy,-0.03340186482886431,1.31983917925967,
50,ROK,Rockwell Automation,Industrials,Electrical Components & Equipment,52534657024,0.384375,0.057256651291429206,0.119,0.20724002,0.12358,0.27183,1.8440834159580186,0.17898177639299284,-0.04637632721541396,0.40715537357941045,-0.007014308123860502,49.02596,32.299335,buy,-0.04009168951413547,1.4095500459136823,
